Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides AGO2-APEX bR01,Peptides AGO2-BirA bR01,Peptides AGO2-BirA bR02,Peptides ctrl APEX bR01,Peptides ctrl BirA bR01,Peptides ctrl BirA bR02,Razor + unique peptides AGO2-APEX bR01,Razor + unique peptides AGO2-BirA bR01,Razor + unique peptides AGO2-BirA bR02,Razor + unique peptides ctrl APEX bR01,Razor + unique peptides ctrl BirA bR01,Razor + unique peptides ctrl BirA bR02,Unique peptides AGO2-APEX bR01,Unique peptides AGO2-BirA bR01,Unique peptides AGO2-BirA bR02,Unique peptides ctrl APEX bR01,Unique peptides ctrl BirA bR01,Unique peptides ctrl BirA bR02,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Identification type AGO2-APEX bR01,Identification type AGO2-BirA bR01,Identification type AGO2-BirA bR02,Identification type ctrl APEX bR01,Identification type ctrl BirA bR01,Identification type ctrl BirA bR02,Sequence coverage AGO2-APEX bR01 [%],Sequence coverage AGO2-BirA bR01 [%],Sequence coverage AGO2-BirA bR02 [%],Sequence coverage ctrl APEX bR01 [%],Sequence coverage ctrl BirA bR01 [%],Sequence coverage ctrl BirA bR02 [%],Intensity,Intensity AGO2-APEX bR01,Intensity AGO2-BirA bR01,Intensity AGO2-BirA bR02,Intensity ctrl APEX bR01,Intensity ctrl BirA bR01,Intensity ctrl BirA bR02,LFQ intensity AGO2-APEX bR01,LFQ intensity AGO2-BirA bR01,LFQ intensity AGO2-BirA bR02,LFQ intensity ctrl APEX bR01,LFQ intensity ctrl BirA bR01,LFQ intensity ctrl BirA bR02,MS/MS Count AGO2-APEX bR01,MS/MS Count AGO2-BirA bR01,MS/MS Count AGO2-BirA bR02,MS/MS Count ctrl APEX bR01,MS/MS Count ctrl BirA bR01,MS/MS Count ctrl BirA bR02,MS/MS Count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions
E5RIU6;A0A087WZZ9;P06493;A0A024QZP7;A0A087WY43;P06493-2,E5RIU6;A0A087WZZ9;P06493;A0A024QZP7;A0A087WY43;P06493-2,2;2;2;2;2;1,1;1;1;1;1;1,1;1;1;1;1;1,Cyclin-dependent kinase 1,CDK1,>tr|E5RIU6|E5RIU6_HUMAN Cyclin-dependent kinase 1 (Fragment) OS=Homo sapiens GN=CDK1 PE=1 SV=2;>tr|A0A087WZZ9|A0A087WZZ9_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens GN=CDK1 PE=1 SV=1;>sp|P06493|CDK1_HUMAN Cyclin-dependent kinase 1 OS=Homo sapiens GN=CD,6,2,1,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,11.6,7.4,7.4,21.738,189,189;224;297;297;301;240,0.0017256,By matching,By matching,By matching,By MS/MS,By matching,By matching,0,0,7.4,11.6,0,0,2445400,0,0,549580,1895900,0,0,0,0,0,869680,0,0,0,0,0,1,0,0,1,,,,0,3355;3528,False;True,3558;3742,11808;12452;12453,8407;8916,8407;8916,,
Q00341;A0A024R4E5;Q00341-2;H0Y394;C9JIZ1;C9JZI8;C9J5E5;H7C0A4;C9JHS7;C9JHZ8;C9JES8;C9JHS9;C9J739;C9JMQ6;C9JQ82;C9JBS3;C9JEJ8;A0A088AWM1;C9JHN6;C9JT62;C9JK79;H7BZC3,Q00341;A0A024R4E5;Q00341-2;H0Y394,10;10;9;8;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1,10;10;9;8;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1,10;10;9;8;4;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1,Vigilin,HDLBP,">sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens GN=HDLBP PE=1 SV=2;>tr|A0A024R4E5|A0A024R4E5_HUMAN High density lipoprotein binding protein (Vigilin), isoform CRA_a OS=Homo sapiens GN=HDLBP PE=4 SV=1;>sp|Q00341-2|VIGLN_HUMAN Isoform 2 of Vigilin OS=Homo sap",22,10,10,10,4,6,10,6,0,3,4,6,10,6,0,3,4,6,10,6,0,3,8.4,8.4,8.4,141.45,1268,1268;1268;1235;973;224;164;221;333;126;141;147;17;19;47;54;69;79;81;82;96;128;267,0,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,4.2,6.4,8.4,5.8,0,3.2,80738000,2179300,21629000,38480000,17167000,0,1281800,3979700,11992000,29447000,12215000,0,5120800,1,2,9,4,0,0,16,,,,1,1401;2285;2483;2517;2518;3082;3960;4525;5809;6759,True;True;True;True;True;True;True;True;True;True,1492;2419;2634;2668;2669;3271;4192;4888;6234;7227,4861;4862;7911;7912;7913;8584;8678;8679;8680;8681;8682;8683;10831;13938;13939;13940;13941;13942;16165;16166;16167;16168;20644;20645;23997;23998;23999;24000;24001;24002;24003;24004,3513;5638;5639;6148;6209;6210;6211;7763;9862;9863;9864;11534;14846;14847;17430;17431;17432;17433,3513;5638;6148;6209;6210;7763;9862;11534;14847;17430,,
K7EN05;P60002;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,K7EN05;P60002;K7EPC8;A0A024R7E8;K7EQ44;K7EMV4,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,Transcription elongation factor 1 homolog,ELOF1,>tr|K7EN05|K7EN05_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens GN=ELOF1 PE=4 SV=1;>sp|P60002|ELOF1_HUMAN Transcription elongation factor 1 homolog OS=Homo sapiens GN=ELOF1 PE=2 SV=1;>tr|K7EPC8|K7EPC8_HUMAN Transcription elongation factor,6,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,23.7,23.7,23.7,8.6531,76,76;83;90;104;114;120,0,By matching,By MS/MS,By matching,By matching,By matching,By matching,0,23.7,0,0,0,0,2987000,0,2987000,0,0,0,0,0,2987000,0,0,0,0,0,1,0,0,0,0,1,,,,2,4406,TRUE,4754,15708,11178,11178,0,16
A0A024RAC6;Q14241,A0A024RAC6;Q14241,2;1,2;1,2;1,Transcription elongation factor B polypeptide 3,TCEB3,">tr|A0A024RAC6|A0A024RAC6_HUMAN Transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A), isoform CRA_a OS=Homo sapiens GN=TCEB3 PE=4 SV=1;>sp|Q14241|ELOA1_HUMAN Transcription elongation factor B polypeptide 3 OS=Homo sapiens GN=TCEB3 PE",2,2,2,2,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,2,0,3.9,3.9,3.9,87.229,772,772;798,0,By matching,By MS/MS,By matching,By matching,By MS/MS,By matching,0,1.9,0,0,3.9,0,7535700,0,0,0,0,7535700,0,0,0,0,0,4173300,0,0,1,0,0,2,0,3,,,,3,39;4449,True;True,39;4806,128;129;15849,90;91;11280,91;11280,,
F5GXT8;F5H796;A0A024RBT2;Q9NR28-2;Q9NR28-3;Q9NR28,F5GXT8;F5H796;A0A024RBT2;Q9NR28-2;Q9NR28-3;Q9NR28,1;1;1;1;1;1,1;1;1;1;1;1,1;1;1;1;1;1,"Diablo homolog, mitochondrial",DIABLO,">tr|F5GXT8|F5GXT8_HUMAN Diablo homolog, mitochondrial (Fragment) OS=Homo sapiens GN=DIABLO PE=1 SV=1;>tr|F5H796|F5H796_HUMAN Diablo homolog, mitochondrial (Fragment) OS=Homo sapiens GN=DIABLO PE=1 SV=3;>tr|A0A024RBT2|A0A024RBT2_HUMAN Diablo homolog, mitoch",6,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7.5,7.5,7.5,15.252,133,133;157;166;186;195;239,0.0070478,By matching,By MS/MS,By matching,By matching,By matching,By matching,0,7.5,0,0,0,0,1265700,0,1265700,0,0,0,0,0,1265700,0,0,0,0,0,1,0,0,0,0,1,,,,4,3362,TRUE,3565,11849,8432,8432,,
P0CG06;P0CG05;P0CG04;P0CF74;A0A075B6L0;A0A075B6K9;A0A075B6K8;B9A064;A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WU42;A0A087X2A1;A0A087WYR4;A0A087WX49,P0CG06;P0CG05;P0CG04;P0CF74;A0A075B6L0;A0A075B6K9;A0A075B6K8;B9A064;A0A087WWC9;A0A087WXC3;A0A087WWU7;A0A087WYN7;A0A087WWT5;A0A087WU42;A0A087X2A1;A0A087WYR4;A0A087WX49,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,Ig lambda-3 chain C regions;Ig lambda-2 chain C regions;Ig lambda-1 chain C regions;Ig lambda-6 chain C region;Immunoglobulin lambda-like polypeptide 5,IGLC3;IGLC2;IGLC1;IGLC6;IGLL5,>sp|P0CG06|LAC3_HUMAN Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1;>sp|P0CG05|LAC2_HUMAN Ig lambda-2 chain C regions OS=Homo sapiens GN=IGLC2 PE=1 SV=1;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1;>,17,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,14.2,14.2,14.2,11.237,106,106;106;106;106;106;106;106;214;231;232;233;234;234;234;235;235;235,0.0063091,By matching,By matching,By matching,By matching,By MS/MS,By matching,0,14.2,0,0,14.2,0,2086300,0,846270,0,0,1240100,0,0,0,0,0,686750,0,0,0,0,0,1,0,1,,,,5,5957,TRUE,6388,21156;21157,15238,15238,,
Q4V328-2;A0A087WT45;Q4V328-4;A0A075B793;Q4V328;Q4V328-3,Q4V328-2;A0A087WT45;Q4V328-4;A0A075B793;Q4V328;Q4V328-3,2;2;2;2;2;1,2;2;2;2;2;1,2;2;2;2;2;1,GRIP1-associated protein 1,GRIPAP1,>sp|Q4V328-2|GRAP1_HUMAN Isoform 2 of GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1;>tr|A0A087WT45|A0A087WT45_HUMAN GRIP1-associated protein 1 OS=Homo sapiens GN=GRIPAP1 PE=1 SV=1;>sp|Q4V328-4|GRAP1_HUMAN Isoform 4 of GRIP1-associated protein 1 OS=,6,2,2,2,0,0,1,2,0,0,0,0,1,2,0,0,0,0,1,2,0,0,3.8,3.8,3.8,71.877,625,625;796;810;810;841;594,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,0,0,1.8,3.8,0,0,7843300,0,0,1104800,6738500,0,0,0,0,0,3091100,0,0,0,0,0,2,0,0,2,,,,6,668;3958,True;True,707;4190,2332;2333;13935,1689;9860,1689;9860,,
E2QRB9;Q16881-7;E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E9PKD3,E2QRB9;Q16881-7;E9PIR7;F8W809;Q16881-5;Q16881-2;A0A087WSW9;Q16881-4;E9PNQ6;Q16881-3;Q16881-6;Q16881;A0A087WSY9;E9PKD3,2;2;2;2;2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;2;2;2;2;1,2;2;2;2;2;2;2;2;2;2;2;2;2;1,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,">tr|E2QRB9|E2QRB9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=2;>sp|Q16881-7|TRXR1_HUMAN Isoform 7 of Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens GN=TXNRD1;>tr|E9PIR7|E9PIR7_HUMAN Thioredoxin reductase 1, cytoplasm",14,2,2,2,2,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,0,0,4.3,4.3,4.3,50.723,460,460;461;482;498;499;543;548;551;568;598;614;649;651;175,0,By MS/MS,By matching,By matching,By MS/MS,By matching,By matching,4.3,0,0,2.2,0,0,6842300,3160000,0,0,3682300,0,0,2692300,0,0,0,0,0,1,0,0,1,0,0,2,,,,7,1666;2628,True;True,1771;2786,5779;5780;9071,4141;6479,4141;6479,,
H0Y8I3;H0Y987;A0A087WT27;J3KN95;O95394;O95394-3;O95394-4,H0Y8I3;H0Y987;A0A087WT27;J3KN95;O95394;O95394-3;O95394-4,1;1;1;1;1;1;1,1;1;1;1;1;1;1,1;1;1;1;1;1;1,Phosphoacetylglucosamine mutase,PGM3,>tr|H0Y8I3|H0Y8I3_HUMAN Phosphoacetylglucosamine mutase (Fragment) OS=Homo sapiens GN=PGM3 PE=1 SV=1;>tr|H0Y987|H0Y987_HUMAN Phosphoacetylglucosamine mutase (Fragment) OS=Homo sapiens GN=PGM3 PE=1 SV=1;>tr|A0A087WT27|A0A087WT27_HUMAN Phosphoacetylglucosami,7,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,11.5,11.5,11.5,12.315,113,113;197;441;461;542;566;570,0,By matching,By matching,By matching,By MS/MS,By matching,By matching,11.5,0,0,11.5,0,0,9157400,2725200,0,0,6432300,0,0,0,0,0,2950600,0,0,0,0,0,1,0,0,1,,,,8,280,TRUE,289,893;894,662,662,,
J3KN91;Q8N5I9;A0A087WT30,J3KN91;Q8N5I9;A0A087WT30,4;4;4,4;4;4,4;4;4,Uncharacterized protein C12orf45,C12orf45,>tr|J3KN91|J3KN91_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=1;>sp|Q8N5I9|CL045_HUMAN Uncharacterized protein C12orf45 OS=Homo sapiens GN=C12orf45 PE=1 SV=2;>tr|A0A087WT30|A0A087WT30_HUMAN Uncharacterized protein C12orf45 OS,3,4,4,4,0,1,2,1,4,1,0,1,2,1,4,1,0,1,2,1,4,1,68.7,68.7,68.7,7.176,67,67;185;187,0,By matching,By matching,By MS/MS,By matching,By MS/MS,By matching,0,11.9,44.8,16.4,68.7,16.4,21600000,0,1222100,1279400,438710,18285000,374440,0,0,2269600,0,8830900,0,0,0,1,0,4,0,5,,,,9,793;3790;4251;5704,True;True;True;True,836;4011;4522;6128,2803;2804;13368;13369;14959;20306;20307;20308;20309,2040;2041;9501;10590;14613,2040;9501;10590;14613,1,1
